command,phonetic_variation,category,ascom_action
three by three,tree by tree,camera,SetBinning_3x3
three by three binning,three by three binning,camera,SetBinning_3x3
four by four,four by four,camera,SetBinning_4x4
four by four,for by for,camera,SetBinning_4x4
four by four binning,four by four binning,camera,SetBinning_4x4
rotate camera,rotate camera,rotator,RotateCamera
rotate camera,rotate kamera,rotator,RotateCamera
rotate camera,roetate camera,rotator,RotateCamera
rotator,rotator,rotator,RotateCamera
rotator,roetator,rotator,RotateCamera
set rotation,set rotation,rotator,RotateCamera
set rotation,set roetation,rotator,RotateCamera
rotate to angle,rotate to angle,rotator,RotateToAngle
rotate to angle,roetate to angle,rotator,RotateToAngle
set angle,set angle,rotator,RotateToAngle
set angle,set angl,rotator,RotateToAngle
rotation angle,rotation angle,rotator,RotateToAngle
rotation angle,roetation angle,rotator,RotateToAngle
mechanical rotation,mechanical rotation,rotator,MechanicalRotation
mechanical rotation,mekanical rotation,rotator,MechanicalRotation
sky angle,sky angle,rotator,SkyAngle
sky angle,sky angl,rotator,SkyAngle
open filter wheel,open filter wheel,filterwheel,OpenFilterWheel
open filter wheel,open filter weel,filterwheel,OpenFilterWheel
filter wheel,filter wheel,filterwheel,FilterWheel
filter wheel,filter weel,filterwheel,FilterWheel
set filter,set filter,filterwheel,SetFilter
set filter,set filtre,filterwheel,SetFilter
change filter,change filter,filterwheel,SetFilter
change filter,change filtre,filterwheel,SetFilter
next filter,next filter,filterwheel,NextFilter
next filter,next filtre,filterwheel,NextFilter
previous filter,previous filter,filterwheel,PreviousFilter
previous filter,previous filtre,filterwheel,PreviousFilter
luminance filter,luminance filter,filterwheel,SetFilter_L
luminance filter,luminance filtre,filterwheel,SetFilter_L
luminance,luminance,filterwheel,SetFilter_L
luminance,luminence,filterwheel,SetFilter_L
lum filter,lum filter,filterwheel,SetFilter_L
lum filter,lum filtre,filterwheel,SetFilter_L
l filter,l filter,filterwheel,SetFilter_L
red filter,red filter,filterwheel,SetFilter_R
red filter,red filtre,filterwheel,SetFilter_R
red,red,filterwheel,SetFilter_R
red,redd,filterwheel,SetFilter_R
r filter,r filter,filterwheel,SetFilter_R
green filter,green filter,filterwheel,SetFilter_G
green filter,green filtre,filterwheel,SetFilter_G
green,green,filterwheel,SetFilter_G
green,grene,filterwheel,SetFilter_G
g filter,g filter,filterwheel,SetFilter_G
blue filter,blue filter,filterwheel,SetFilter_B
blue filter,blue filtre,filterwheel,SetFilter_B
blue,blue,filterwheel,SetFilter_B
blue,bloo,filterwheel,SetFilter_B
b filter,b filter,filterwheel,SetFilter_B
hydrogen alpha filter,hydrogen alpha filter,filterwheel,SetFilter_Ha
hydrogen alpha filter,hydrogen alfa filter,filterwheel,SetFilter_Ha
h alpha filter,h alpha filter,filterwheel,SetFilter_Ha
h alpha filter,h alfa filter,filterwheel,SetFilter_Ha
h alpha,h alpha,filterwheel,SetFilter_Ha
h alpha,h alfa,filterwheel,SetFilter_Ha
ha filter,ha filter,filterwheel,SetFilter_Ha
ha filter,ha filtre,filterwheel,SetFilter_Ha
oxygen three filter,oxygen three filter,filterwheel,SetFilter_OIII
oxygen three filter,oxygen tree filter,filterwheel,SetFilter_OIII
o three filter,o three filter,filterwheel,SetFilter_OIII
o three filter,o tree filter,filterwheel,SetFilter_OIII
oiii filter,oiii filter,filterwheel,SetFilter_OIII
oiii,oiii,filterwheel,SetFilter_OIII
sulfur two filter,sulfur two filter,filterwheel,SetFilter_SII
sulfur two filter,sulfur too filter,filterwheel,SetFilter_SII
s two filter,s two filter,filterwheel,SetFilter_SII
s two filter,s too filter,filterwheel,SetFilter_SII
sii filter,sii filter,filterwheel,SetFilter_SII
sii,sii,filterwheel,SetFilter_SII
clear filter,clear filter,filterwheel,SetFilter_Clear
clear filter,clear filtre,filterwheel,SetFilter_Clear
no filter,no filter,filterwheel,SetFilter_Clear
no filter,no filtre,filterwheel,SetFilter_Clear
flat panel on,flat panel on,flats,FlatPanelOn
flat panel on,flat pannel on,flats,FlatPanelOn
turn on flat panel,turn on flat panel,flats,FlatPanelOn
turn on flat panel,turn on flat pannel,flats,FlatPanelOn
flat light on,flat light on,flats,FlatPanelOn
flat light on,flat lite on,flats,FlatPanelOn
flat panel off,flat panel off,flats,FlatPanelOff
flat panel off,flat pannel off,flats,FlatPanelOff
turn off flat panel,turn off flat panel,flats,FlatPanelOff
turn off flat panel,turn off flat pannel,flats,FlatPanelOff
flat light off,flat light off,flats,FlatPanelOff
flat light off,flat lite off,flats,FlatPanelOff
set brightness,set brightness,flats,SetBrightness
set brightness,set britenss,flats,SetBrightness
panel brightness,panel brightness,flats,SetBrightness
panel brightness,pannel brightness,flats,SetBrightness
flat cover open,flat cover open,flats,OpenCover
flat cover open,flat cover oapen,flats,OpenCover
open cover,open cover,flats,OpenCover
open cover,oapen cover,flats,OpenCover
flat cover close,flat cover close,flats,CloseCover
flat cover close,flat cover cloze,flats,CloseCover
close cover,close cover,flats,CloseCover
close cover,cloze cover,flats,CloseCover
take flats,take flats,flats,TakeFlats
take flats,take flatts,flats,TakeFlats
capture flats,capture flats,flats,TakeFlats
capture flats,kapture flats,flats,TakeFlats
take darks,take darks,calibration,TakeDarks
take darks,take dahks,calibration,TakeDarks
capture darks,capture darks,calibration,TakeDarks
capture darks,kapture darks,calibration,TakeDarks
take bias,take bias,calibration,TakeBias
take bias,take byas,calibration,TakeBias
capture bias,capture bias,calibration,TakeBias
capture bias,kapture bias,calibration,TakeBias
take dark flats,take dark flats,calibration,TakeDarkFlats
take dark flats,take dark flatts,calibration,TakeDarkFlats
capture dark flats,capture dark flats,calibration,TakeDarkFlats
capture dark flats,kapture dark flats,calibration,TakeDarkFlats
weather status,weather status,weather,WeatherStatus
weather status,weather staytus,weather,WeatherStatus
weather status,wether status,weather,WeatherStatus
check weather,check weather,weather,WeatherStatus
check weather,check wether,weather,WeatherStatus
is it safe,is it safe,weather,WeatherSafe
is it safe,is it sayf,weather,WeatherSafe
weather safe,weather safe,weather,WeatherSafe
weather safe,wether safe,weather,WeatherSafe
cloud sensor,cloud sensor,weather,CloudSensor
cloud sensor,cloud senser,weather,CloudSensor
sky quality,sky quality,weather,SkyQuality
sky quality,sky quolity,weather,SkyQuality
sqm reading,sqm reading,weather,SkyQuality
sqm reading,sqm reeding,weather,SkyQuality
seeing conditions,seeing conditions,weather,SeeingConditions
seeing conditions,seeing condishuns,weather,SeeingConditions
what is the seeing,what is the seeing,weather,SeeingConditions
what is the seeing,what iz the seeing,weather,SeeingConditions
wind speed,wind speed,weather,WindSpeed
wind speed,wind spede,weather,WindSpeed
wind speed,wynd speed,weather,WindSpeed
humidity,humidity,weather,Humidity
humidity,humiditi,weather,Humidity
humidity,humiditee,weather,Humidity
temperature outside,temperature outside,weather,OutsideTemperature
temperature outside,temperture outside,weather,OutsideTemperature
outside temperature,outside temperature,weather,OutsideTemperature
outside temperature,outside temperture,weather,OutsideTemperature
dew point,dew point,weather,DewPoint
dew point,doo point,weather,DewPoint
dew point,dew poynt,weather,DewPoint
safety monitor,safety monitor,safety,SafetyMonitor
safety monitor,sayfty monitor,safety,SafetyMonitor
safety status,safety status,safety,SafetyMonitor
safety status,sayfty status,safety,SafetyMonitor
is safe,is safe,safety,IsSafe
is safe,is sayf,safety,IsSafe
safe to operate,safe to operate,safety,IsSafe
safe to operate,sayf to operate,safety,IsSafe
emergency shutdown,emergency shutdown,safety,EmergencyShutdown
emergency shutdown,emergensee shutdown,safety,EmergencyShutdown
shutdown,shutdown,safety,Shutdown
shutdown,shutdoun,safety,Shutdown
safe shutdown,safe shutdown,safety,SafeShutdown
safe shutdown,sayf shutdown,safety,SafeShutdown
power off,power off,power,PowerOff
power off,power awf,power,PowerOff
turn off power,turn off power,power,PowerOff
turn off power,turn awf power,power,PowerOff
power on,power on,power,PowerOn
power on,power awn,power,PowerOn
turn on power,turn on power,power,PowerOn
turn on power,turn awn power,power,PowerOn
power status,power status,power,PowerStatus
power status,power staytus,power,PowerStatus
switch status,switch status,power,SwitchStatus
switch status,switch staytus,power,SwitchStatus
usb hub,usb hub,power,USBHub
usb hub,usb hubb,power,USBHub
reset usb,reset usb,power,ResetUSB
reset usb,reeset usb,power,ResetUSB
