canonical_name,phonetic_variation,category
Uranus,urinus,planet
Uranus,youranus,planet
Uranus,urinous,planet
Uranus,uranuss,planet
Uranus,go to uranus,planet
Uranus,slew to uranus,planet
Uranus,show me uranus,planet
Neptune,neptune,planet
Neptune,planet neptune,planet
Neptune,neptun,planet
Neptune,neptuune,planet
Neptune,neptunne,planet
Neptune,neptoone,planet
Neptune,nepptune,planet
Neptune,neptyne,planet
Neptune,neptunee,planet
Neptune,naptune,planet
Neptune,go to neptune,planet
Neptune,slew to neptune,planet
Neptune,show me neptune,planet
Pluto,pluto,dwarf_planet
Pluto,pluto dwarf planet,dwarf_planet
Pluto,plutoo,dwarf_planet
Pluto,plutow,dwarf_planet
Pluto,plutoe,dwarf_planet
Pluto,pluuto,dwarf_planet
Pluto,plutto,dwarf_planet
Pluto,plooto,dwarf_planet
Pluto,plutoh,dwarf_planet
Pluto,plewtoe,dwarf_planet
Pluto,go to pluto,dwarf_planet
Pluto,slew to pluto,dwarf_planet
Pluto,show me pluto,dwarf_planet
Moon,moon,moon
Moon,the moon,moon
Moon,luna,moon
Moon,mooon,moon
Moon,muun,moon
Moon,moonn,moon
Moon,go to moon,moon
Moon,slew to moon,moon
Moon,show me the moon,moon
Moon,navigate to moon,moon
Moon,earth's moon,moon
Moon,earths moon,moon
Europa,europa,moon
Europa,jupiter's europa,moon
Europa,eurupa,moon
Europa,euroopa,moon
Europa,euopa,moon
Europa,europpa,moon
Europa,europia,moon
Europa,go to europa,moon
Europa,slew to europa,moon
Titan,titan,moon
Titan,saturn's titan,moon
Titan,tytan,moon
Titan,tiitan,moon
Titan,titann,moon
Titan,tightan,moon
Titan,go to titan,moon
Titan,slew to titan,moon
Titan,show me titan,moon
Io,io,moon
Io,jupiter's io,moon
Io,eye oh,moon
Io,iyo,moon
Io,eeo,moon
Io,ioo,moon
Io,go to io,moon
Io,slew to io,moon
Io,show me io,moon
Ganymede,ganymede,moon
Ganymede,gannymede,moon
Ganymede,ganimede,moon
Ganymede,gannymeede,moon
Ganymede,ganymeed,moon
Ganymede,go to ganymede,moon
Ganymede,slew to ganymede,moon
Ganymede,show me ganymede,moon
Callisto,callisto,moon
Callisto,calisto,moon
Callisto,callizto,moon
Callisto,callistoo,moon
Callisto,kalisto,moon
Callisto,go to callisto,moon
Callisto,slew to callisto,moon
Callisto,show me callisto,moon
Enceladus,enceladus,moon
Enceladus,enseladus,moon
Enceladus,encelados,moon
Enceladus,enceladis,moon
Enceladus,enceladuss,moon
Enceladus,go to enceladus,moon
Enceladus,slew to enceladus,moon
Enceladus,show me enceladus,moon
Triton,triton,moon
Triton,neptune's triton,moon
Triton,tritan,moon
Triton,tryton,moon
Triton,tritoon,moon
Triton,go to triton,moon
Triton,slew to triton,moon
Triton,show me triton,moon
M1,m1,messier
M1,messier 1,messier
M1,messier one,messier
M1,em one,messier
M2,m2,messier
M2,messier 2,messier
M2,messier two,messier
M3,m3,messier
M3,messier 3,messier
M3,messier three,messier
M4,m4,messier
M4,messier 4,messier
M4,messier four,messier
M5,m5,messier
M5,messier 5,messier
M5,messier five,messier
M6,m6,messier
M6,messier 6,messier
M6,messier six,messier
M7,m7,messier
M7,messier 7,messier
M7,messier seven,messier
M8,m8,messier
M8,messier 8,messier
M8,messier eight,messier
M9,m9,messier
M9,messier 9,messier
M9,messier nine,messier
M10,m10,messier
M10,messier 10,messier
M10,messier ten,messier
M11,m11,messier
M11,messier 11,messier
M11,messier eleven,messier
M12,m12,messier
M12,messier 12,messier
M13,m13,messier
M13,messier 13,messier
M13,messier thirteen,messier
M14,m14,messier
M14,messier 14,messier
M15,m15,messier
M15,messier 15,messier
M16,m16,messier
M16,messier 16,messier
M17,m17,messier
M17,messier 17,messier
M18,m18,messier
M18,messier 18,messier
M19,m19,messier
M19,messier 19,messier
M20,m20,messier
M20,messier 20,messier
M21,m21,messier
M21,messier 21,messier
M22,m22,messier
M22,messier 22,messier
M23,m23,messier
M23,messier 23,messier
M24,m24,messier
M24,messier 24,messier
M25,m25,messier
M25,messier 25,messier
M26,m26,messier
M26,messier 26,messier
M27,m27,messier
M27,messier 27,messier
M28,m28,messier
M28,messier 28,messier
M29,m29,messier
M29,messier 29,messier
M30,m30,messier
M30,messier 30,messier
M31,m31,messier
M31,messier 31,messier
M32,m32,messier
M32,messier 32,messier
M33,m33,messier
M33,messier 33,messier
M34,m34,messier
M34,messier 34,messier
M35,m35,messier
M35,messier 35,messier
M36,m36,messier
M36,messier 36,messier
M37,m37,messier
M37,messier 37,messier
M38,m38,messier
M38,messier 38,messier
M39,m39,messier
M39,messier 39,messier
M40,m40,messier
M40,messier 40,messier
M41,m41,messier
M41,messier 41,messier
M42,m42,messier
M42,messier 42,messier
M43,m43,messier
M43,messier 43,messier
M44,m44,messier
M44,messier 44,messier
M45,m45,messier
M45,messier 45,messier
M46,m46,messier
M46,messier 46,messier
M47,m47,messier
M47,messier 47,messier
M48,m48,messier
M48,messier 48,messier
M49,m49,messier
M49,messier 49,messier
M50,m50,messier
M50,messier 50,messier
M51,m51,messier
M51,messier 51,messier
M52,m52,messier
M52,messier 52,messier
M53,m53,messier
M53,messier 53,messier
M54,m54,messier
M54,messier 54,messier
M55,m55,messier
M55,messier 55,messier
M56,m56,messier
M56,messier 56,messier
M57,m57,messier
M57,messier 57,messier
M58,m58,messier
M58,messier 58,messier
M59,m59,messier
M59,messier 59,messier
M60,m60,messier
M60,messier 60,messier
M61,m61,messier
M61,messier 61,messier
M62,m62,messier
M62,messier 62,messier
M63,m63,messier
M63,messier 63,messier
M64,m64,messier
M64,messier 64,messier
M65,m65,messier
M65,messier 65,messier
M66,m66,messier
M66,messier 66,messier
M67,m67,messier
M67,messier 67,messier
M68,m68,messier
M68,messier 68,messier
M69,m69,messier
M69,messier 69,messier
M70,m70,messier
M70,messier 70,messier
M71,m71,messier
M71,messier 71,messier
M72,m72,messier
M72,messier 72,messier
M73,m73,messier
M73,messier 73,messier
M74,m74,messier
M74,messier 74,messier
M75,m75,messier
M75,messier 75,messier
M76,m76,messier
M76,messier 76,messier
M77,m77,messier
M77,messier 77,messier
M78,m78,messier
M78,messier 78,messier
M79,m79,messier
M79,messier 79,messier
M80,m80,messier
M80,messier 80,messier
M81,m81,messier
M81,messier 81,messier
M82,m82,messier
M82,messier 82,messier
M83,m83,messier
M83,messier 83,messier
M84,m84,messier
M84,messier 84,messier
M85,m85,messier
M85,messier 85,messier
M86,m86,messier
M86,messier 86,messier
M87,m87,messier
M87,messier 87,messier
M88,m88,messier
M88,messier 88,messier
M89,m89,messier
M89,messier 89,messier
M90,m90,messier
M90,messier 90,messier
M91,m91,messier
M91,messier 91,messier
M92,m92,messier
M92,messier 92,messier
M93,m93,messier
M93,messier 93,messier
M94,m94,messier
M94,messier 94,messier
M95,m95,messier
M95,messier 95,messier
M96,m96,messier
M96,messier 96,messier
M97,m97,messier
M97,messier 97,messier
M98,m98,messier
M98,messier 98,messier
M99,m99,messier
M99,messier 99,messier
M100,m100,messier
M100,messier 100,messier
M101,m101,messier
M101,messier 101,messier
M102,m102,messier
M102,messier 102,messier
M103,m103,messier
M103,messier 103,messier
M104,m104,messier
M104,messier 104,messier
M105,m105,messier
M105,messier 105,messier
M106,m106,messier
M106,messier 106,messier
M107,m107,messier
M107,messier 107,messier
M108,m108,messier
M108,messier 108,messier
M109,m109,messier
M109,messier 109,messier
M110,m110,messier
M110,messier 110,messier
California Nebula,california nebula,nebula
California Nebula,california,nebula
California Nebula,the california nebula,nebula
California Nebula,california neb,nebula
California Nebula,ngc 1499,nebula
California Nebula,californa nebula,nebula
California Nebula,californya nebula,nebula
California Nebula,kalifornia nebula,nebula
California Nebula,go to california,nebula
California Nebula,slew to california nebula,nebula
California Nebula,show me california,nebula
California Nebula,show me california nebula,nebula
California Nebula,navigate to california,nebula
California Nebula,find california nebula,nebula
California Nebula,cali nebula,nebula
California Nebula,cal nebula,nebula
Soul Nebula,soul nebula,nebula
Soul Nebula,soul,nebula
Soul Nebula,the soul nebula,nebula
Soul Nebula,ic 1848,nebula
Soul Nebula,westerhout 5,nebula
Soul Nebula,go to soul nebula,nebula
Soul Nebula,show me soul,nebula
Heart Nebula,heart nebula,nebula
Heart Nebula,heart,nebula
Heart Nebula,the heart nebula,nebula
Heart Nebula,ic 1805,nebula
Heart Nebula,go to heart nebula,nebula
Heart Nebula,show me heart,nebula
Witch Head Nebula,witch head nebula,nebula
Witch Head Nebula,witch head,nebula
Witch Head Nebula,ic 2118,nebula
Witch Head Nebula,go to witch head,nebula
Pacman Nebula,pacman nebula,nebula
Pacman Nebula,pacman,nebula
Pacman Nebula,pac man nebula,nebula
Pacman Nebula,ngc 281,nebula
Pacman Nebula,go to pacman,nebula
Owl Nebula,owl nebula,nebula
Owl Nebula,owl,nebula
Owl Nebula,m97,nebula
Owl Nebula,messier 97,nebula
Owl Nebula,go to owl nebula,nebula
